exports,imports,p_imports,p_exports,time
42043616,38923524,95.5,96.5,2000m1
46442548,39321449,96.7,96.8,2000m2
52164877,46034143,97.40000000000001,97,2000m3
45261531,39965360,97.3,97.40000000000001,2000m4
52191996,47689413,98.90000000000001,97.90000000000001,2000m5
49606438,42999276,98.90000000000001,97.90000000000001,2000m6
49796582,43853881,99.3,98.09999999999999,2000m7
47221698,44301948,100.4,98.40000000000001,2000m8
48989341,44735335,102.3,98.90000000000001,2000m9
56818479,50024578,102.8,99.3,2000m10
56856582,52091830,103.1,99.2,2000m11
50046052,48370675,101.3,98.90000000000001,2000m12
51877852,46215372,100.5,98.8,2001m1
52085055,44914138,101,99,2001m2
56125304,46418454,100.8,99.09999999999999,2001m3
52860749,46695029,101.3,99.3,2001m4
54662637,46451129,102.2,99.5,2001m5
53687368,45960108,102.1,99.5,2001m6
55365514,45924907,100.8,99.40000000000001,2001m7
51630305,42592664,99.8,99,2001m8
49637944,42568938,99.40000000000001,98.90000000000001,2001m9
57246213,47585275,98,98.7,2001m10
54871683,47520357,97.7,98.59999999999999,2001m11
48217736,39927293,97.5,98.59999999999999,2001m12
50334641,39809109,97.8,98.7,2002m1
51822128,41264213,98.3,98.7,2002m2
54559719,42315148,99,98.90000000000001,2002m3
56028758,46013489,99.2,99,2002m4
50475548,40068051,98.7,98.90000000000001,2002m5
56663912,45365284,97.59999999999999,98.90000000000001,2002m6
55853900,42630267,97,98.8,2002m7
51749663,41272345,97.40000000000001,98.8,2002m8
55189506,43347174,97.8,98.90000000000001,2002m9
58902236,47372796,97.8,98.8,2002m10
58892569,46609973,96.8,98.7,2002m11
50847094,42463939,97.40000000000001,98.7,2002m12
53557932,44288702,97.7,98.90000000000001,2003m1
53977434,43310286,98,99,2003m2
55977248,46078788,97.5,99,2003m3
53880253,44769487,96,98.90000000000001,2003m4
54485772,44086207,94.7,98.5,2003m5
54276400,43946024,94.59999999999999,98.3,2003m6
57977217,44132817,94.7,98.3,2003m7
49874386,39704694,95.3,98.40000000000001,2003m8
58468151,44052061,95.2,98.5,2003m9
58413683,47417727,95,98.40000000000001,2003m10
58859825,48625049,95,98.40000000000001,2003m11
54706321,44122237,94.59999999999999,98.2,2003m12
55478607,42980461,94.7,98.2,2004m1
56527652,44255032,94.8,98.3,2004m2
64802594,48214354,95.90000000000001,98.8,2004m3
61595305,47224007,96.40000000000001,99.09999999999999,2004m4
60507437,46367095,97.09999999999999,99.3,2004m5
62674998,47883884,96.5,99.09999999999999,2004m6
62198417,48626740,96.8,99.2,2004m7
55946702,45029788,97.7,99.5,2004m8
61569567,49622533,97.8,99.5,2004m9
64053403,51666870,98.90000000000001,99.7,2004m10
66473331,54709965,97.59999999999999,99.59999999999999,2004m11
59715770,48867316,96.7,99.2,2004m12
60551969,47239901,97.5,99.5,2005m1
59759297,46143718,98.2,99.7,2005m2
65222286,48954417,99.09999999999999,99.8,2005m3
64536926,52129626,98.8,99.8,2005m4
63595018,51629081,98.5,99.59999999999999,2005m5
68718941,52422582,99.8,99.8,2005m6
64507967,50962603,100.3,100,2005m7
63263165,51028055,101,100,2005m8
69401109,54486388,101.3,100.4,2005m9
68591693,56803722,101.9,100.6,2005m10
71519115,58568487,101.7,100.5,2005m11
66598440,57718228,102,100.3,2005m12
68267925,55901420,102.8,100.6,2006m1
69973322,57148630,103.1,100.9,2006m2
76666341,62293486,103.5,101.2,2006m3
69574021,58801679,104.7,101.6,2006m4
72298372,60219400,104.7,101.8,2006m5
73131480,61109452,104.7,101.8,2006m6
72728738,60201883,105.8,102.1,2006m7
69086138,58142677,105.8,102.1,2006m8
79173820,63925792,104.8,102,2006m9
83664717,66702975,104.6,102.4,2006m10
85060753,66927763,104.2,102.3,2006m11
73416313,62618734,103.8,102.2,2006m12
77076900,60899758,103.3,102.4,2007m1
77301679,63349691,103.6,102.6,2007m2
83508920,65398981,104.1,102.7,2007m3
78449832,63631688,104.8,103,2007m4
78567279,61678421,104.9,103.1,2007m5
81494536,65018349,105.3,103.2,2007m6
81090888,63310871,105.5,103.3,2007m7
77401949,63219200,104.9,103.2,2007m8
81478828,63261075,105.3,103.2,2007m9
88483427,69632584,106.1,103.2,2007m10
87384073,67961487,106.7,103.2,2007m11
72997248,62525359,106.6,103.1,2007m12
83324160,66261320,107.5,103.8,2008m1
83516171,66412813,108.6,104.2,2008m2
82754980,65987199,108.9,104.3,2008m3
88750606,69715592,109.8,104.5,2008m4
79732900,65361974,112.1,105.1,2008m5
87364212,67603336,113.6,105.5,2008m6
86066979,71928324,114.3,106,2008m7
74859412,64046596,113.6,105.9,2008m8
86270138,70996782,112.7,105.8,2008m9
88702243,72036441,109.1,105.1,2008m10
76085058,66117708,106,104.3,2008m11
66712939,59374385,102.2,103.1,2008m12
63558787,56154314,101.5,102.9,2009m1
63788746,55018260,101.3,102.9,2009m2
70163986,58763141,100.7,102.5,2009m3
64401285,54335268,99.90000000000001,102.4,2009m4
60652667,50325592,99.90000000000001,102.3,2009m5
66898844,53172895,100.3,102.4,2009m6
70577420,54985700,99.40000000000001,102.2,2009m7
60088187,51089512,100.7,102.5,2009m8
70913592,59412227,99.8,102.4,2009m9
72460259,59994158,100.3,102.4,2009m10
72294832,56332975,100.7,102.5,2009m11
67513241,55030850,101.2,102.7,2009m12
63823319,55809406,102.9,103.3,2010m1
70027681,57373277,103.9,103.7,2010m2
85624609,68701304,105.7,104.5,2010m3
74975792,61876671,107.8,105.5,2010m4
77440651,67665174,108.4,106,2010m5
86382924,72159351,109.4,106.4,2010m6
82935559,69437189,109.2,106.4,2010m7
75113967,66067849,109.4,106.8,2010m8
86863771,70037908,109.7,107.1,2010m9
86634304,72454333,109.5,106.8,2010m10
87950943,75018575,110.8,107.1,2010m11
81723849,69563025,113.3,108,2010m12
