country,gdp,time
Germany,443502.06,1991q1
Germany,439944.09,1991q2
Germany,437520.59,1991q3
Germany,444120.81,1991q4
Germany,452731.75,1992q1
Germany,448503.47,1992q2
Germany,448245.69,1992q3
Germany,448606.59,1992q4
Germany,443592.19,1993q1
Germany,444159.38,1993q2
Germany,447304.69,1993q3
Germany,448490.63,1993q4
Germany,453969.03,1994q1
Germany,455515.94,1994q2
Germany,459125.41,1994q3
Germany,462941.13,1994q4
Germany,463289.06,1995q1
Germany,467826.59,1995q2
Germany,468393.75,1995q3
Germany,468187.5,1995q4
Germany,464797.09,1996q1
Germany,471809.75,1996q2
Germany,474130.13,1996q3
Germany,476347.41,1996q4
Germany,474168.78,1997q1
Germany,480201.56,1997q2
Germany,481954.66,1997q3
Germany,485667.19,1997q4
Germany,490359.34,1998q1
Germany,488090.63,1998q2
Germany,489740.63,1998q3
Germany,488812.53,1998q4
Germany,494059.13,1999q1
Germany,493852.88,1999q2
Germany,500194.88,1999q3
Germany,505608.81,1999q4
Germany,511448.44,2000q1
Germany,517171.88,2000q2
Germany,516965.63,2000q3
Germany,517326.59,2000q4
Germany,522637.5,2001q1
Germany,522946.88,2001q2
Germany,522121.88,2001q3
Germany,523359.38,2001q4
Germany,521245.28,2002q1
Germany,522328.16,2002q2
Germany,524339.06,2002q3
Germany,523462.5,2002q4
Germany,520381.63,2003q1
Germany,519608.13,2003q2
Germany,522134.75,2003q3
Germany,524352,2003q4
Germany,525473.44,2004q1
Germany,525937.5,2004q2
Germany,525009.38,2004q3
Germany,525421.88,2004q4
Germany,525666.94,2005q1
Germany,528915.25,2005q2
Germany,532369.88,2005q3
Germany,534071.44,2005q4
Germany,539085.94,2006q1
Germany,547439.06,2006q2
Germany,551976.56,2006q3
Germany,558164.06,2006q4
Germany,560729.38,2007q1
Germany,562534.06,2007q2
Germany,566555.81,2007q3
Germany,567999.5,2007q4
Germany,575759.94,2008q1
Germany,571841.13,2008q2
Germany,569262.94,2008q3
Germany,556836.06,2008q4
Germany,537654.94,2009q1
Germany,540233.19,2009q2
Germany,543945.75,2009q3
Germany,545698.94,2009q4
Germany,549192.19,2010q1
Germany,561464.06,2010q2
Germany,565382.81,2010q3
Germany,567445.31,2010q4
